title,link,opening_date,deadline_date,description,ods_classification,site
"Innovative, AI-based solutions for urban planning and management","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-MISS-2025-04-CIT-02?keywords=Artificial%20Intelligence&isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=relevance",05 May 2025,03 September 2025,"Projects are expected to contribute to the following outcomes: - Digital Twin models with their associated tools, that use Artificial Intelligence (including generative AI), developed in line with the requirements defined in the scope, which are tested, calibrated, and implemented in each city participating in the proposal; - Guidelines and recommended approaches on the integration and orchestration of developed models, applications and tools in urban planning and management and the subsequent decision-making process, considering synergies with the open sand-boxing infrastructure provided by the LDT-CitiVERSE-EDIC [1] ; - Capacity building, for instance, making available software in relevant platforms (such as AI …","9, 11",European Commission
AI-generated digital twins for science,"https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-INFRA-2025-01-TECH-04?keywords=Artificial%20Intelligence&isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=relevance",05 May 2025,17 September 2025,"Project results are expected to contribute to all of the following expected outcomes: - Innovative use of artificial intelligence (AI), in line with the GenAI4EU initiative [1] , and other key EU initiatives, like the Apply AI strategy, is demonstrated to setup and manage highly complex modelling and simulation activities across different research infrastructures (RIs). - New best practices and guidelines for model generation and setup, including simulation and simulation-observation data fusion, are established. - Emergence of new applications and use cases, in line with the GenAI4EU initiative and other key EU initiatives, like the Apply AI strategy. The aim …","9, 11, 14",European Commission
AI-powered impact simulations in support of the Destination Earth initiative,"https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-INFRA-2025-01-TECH-03?keywords=Artificial%20Intelligence&isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=relevance",05 May 2025,17 September 2025,"Project results are expected to contribute to all of the following expected outcomes: - Innovative use of AI, in line with the GenAI4Eu initiative [1] , and other key EU initiatives like the Apply AI strategy, to generate powerful local impact assessments on top of large-scale scenarios provided by digital twins demonstrated with fusion of real time data feeds, triggering available services and visualisations. - Novel interfaces that translate the non-technical requirements of the users into concrete scenario assessments tailored for local needs. - New best practices and guidelines on impact assessment of digital twin simulation and AI powered analysis …",7,European Commission
Advancing AI-readiness and Machine-Actionability in the EOSC Ecosystem,"https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-INFRA-2025-01-EOSC-03?keywords=Artificial%20Intelligence&isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=relevance",05 May 2025,17 September 2025,"Project results are expected to contribute to the following outcomes: - EOSC will be advancing AI-readiness and Machine-Actionability (MA) in the ecosystem by offering AI-ready federated infrastructure and easy-to-use platform services for EOSC, in order to respond to one of the main challenges of research infrastructures for AI in science, namely the lack of interoperability between AI/ML solutions. - EOSC will focus on integrating machine-actionable repositories within the ecosystem and demonstrating their reliability and effectiveness by collaborating with repository owners and service providers to implement MA tools and protocols, ensuring seamless integration with the EOSC EU Node. Today, the sustainable …","8, 9, 11, 12, 14",European Commission
Using Generative AI (GenAI4EU ) for Scientific Research via EOSC,"https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-INFRA-2025-01-EOSC-05?keywords=Artificial%20Intelligence&isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=relevance",05 May 2025,17 September 2025,"Project results are expected to contribute to the following outcomes: - EOSC will make available the high-quality machine-readable scientific datasets to be consumed by machine-driven Generative AI applications at the service of science in line with the GenAI4EU [1] initiative and other key EU initiatives, like the Apply AI strategy. - EOSC will facilitate the pooling and sharing of high-value data sets originated from EOSC and other data spaces identified as priorities (including, but not limited to, public sector, health, climate, environmental, manufacturing, agriculture, energy, financial and mobility data). The large-scale actions supported by EOSC will include the creation of …","1, 2, 3, 7, 9, 13",European Commission
Apply AI: GenAI for the public administrations,"https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/DIGITAL-2025-AI-08-SUPPLY-AI?keywords=Artificial%20Intelligence&isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=relevance",14 April 2025,01 October 2025,"Expected Outcome and Deliverables - Pilots of European GenAI solutions in public administrations. - Replication of piloted GenAI solutions across public administrations and Member States. - GenAI4EU community of public administrations in Europe. Objective Generative Artificial Intelligence (GenAI) can play a transformative role in public administrations by automating routine tasks, enhancing personalized citizen-centric service delivery, and improving communication with citizens. It supports decision-making by analysing large datasets and simulating policy outcomes, while also helping in the drafting of legal texts. GenAI can also play a role in mitigating staff shortages and language barriers to access public services. Its implementation must …","9, 11, 17",European Commission
Data Spaces Support Centre,"https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/DIGITAL-2025-AI-08-DS-SUPPORT?keywords=Artificial%20Intelligence&isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=relevance",14 April 2025,01 October 2025,"Expected Outcome and Deliverables This action will result in the continuation of the operation of the Data Spaces Support Centre. The Centre will continue to coordinate, support, and promote all relevant initiatives related to sectoral data spaces. It will provide essential blueprints, technologies, processes, standards, and tools necessary for the effective deployment, operation, and interconnection of these data spaces, ensuring their seamless integration and functionality across various sectors. It will ensure that key stakeholders from data spaces are involved in these activities. Objective The objective is to identify a consortium that will assure the continuation of the Data Spaces Support …",14,European Commission
Digital solutions for regulatory compliance through data,"https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/DIGITAL-2025-AI-08-COMPLIANCE?keywords=Artificial%20Intelligence&isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=relevance",14 April 2025,01 October 2025,"Expected Outcome and Deliverables - Delivering three or four separate projects on the streamlining of regulatory reporting through automated and trusted sharing of compliance data, each demonstrating how the governance and technical aspects as well as the legal and processing aspects have been addressed. - Each project will deliver a pilot in realistic operational conditions and a live presentation (demo) of the pilot use case by the participants as well as a final report. - The project outcomes, including the developed solutions, will have to be disseminated to relevant stakeholders, such as public administrations and private entities (in particular SMEs), …",unknown,European Commission
Support to the secretariat for the Alliance on Processors and Semiconductor Technologies,"https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/DIGITAL-2025-AI-08-PROCESSOR?keywords=Artificial%20Intelligence&isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=relevance",14 April 2025,01 October 2025,"Expected Outcome and Deliverables The Secretariat of the European Alliance will support the European Commission in making the Alliance a sustainable stakeholder platform that will deliver on the following deliverables: - The development and promotion of strategic roadmaps and action plans for the objectives and deliverables as established within the thematic Working Groups of the Alliance, in coordination with the members of the Alliance and the European Commission; - The identification of the needs of end-users for the next decade; - Creation and maintenance of the Alliance’s website, a digital collaboration platform and day-to-day content creation to inform the broader …","8, 9, 12, 17",European Commission
Generative AI for Cybersecurity applications,"https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL3-2025-02-CS-ECCC-01?keywords=Artificial%20Intelligence&isExactMatch=true&status=31094501,31094502&order=DESC&pageNumber=1&pageSize=100&sortBy=relevance",11 June 2025,11 November 2025,"Action launched by the ECCC to incorporate ‘expected impact’ language set out in the ‘Destination – Increased Cybersecurity’ section of this work programme part. Destination - Increased Cybersecurity The strategic plan 2025-2027 identifies the following impact: ""Increased cybersecurity and a more secure online environment by developing and using effectively EU and Member States’ capabilities in digital technologies supporting protection of data and networks aspiring to technological sovereignty in this field, while respecting privacy and other fundamental rights; this should contribute to secure services, processes and products, as well as to robust digital infrastructures capable to resist and counter cyber-attacks and …","3, 8, 9, 11",European Commission
